xbegin,ybegin,zbegin,xdif,ydif,zdif,number
340,357,264,266707,-9520,37391,5
1,355,271,-52394,-13120,-135612,1
42,337,344,-248091,-190814,-373256,5
331,85,99,186929,-46912,161398,1
320,349,87,358154,302931,-808124,3
352,16,284,43168,11598,-67792,3
335,246,76,-58909,-172435,254856,2
27,224,272,-753235,175867,-159062,6
43,255,196,-77460,-11022,-26170,5
359,356,263,14610,452,-78667,6
314,75,321,284643,-15821,-27246,2
358,108,72,145781,3990,67368,5
35,157,346,3104,106597,196626,4
358,17,258,-26576,2999,-59687,4
1,350,5,-7060,-6813,-151602,4
280,255,281,-901,1775290,1785459,5
40,315,266,-150313,-29544,-56317,5
12,356,309,-100124,15424,-122571,3
6,59,327,-13096,-8056,-208667,4
0,86,85,32471,3294,68686,4
320,334,214,-32396,141225,-209565,2
342,345,345,75777,75523,-30357,5
