xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
3061,211,2369,-998,-966,-11,0,2
3049,203,2366,-997,-965,-11,1,2
3038,198,2359,-996,-964,-11,2,2
3027,193,2352,-995,-963,-11,3,2
3016,188,2345,-994,-962,-11,4,2
3006,183,2338,-993,-961,-11,5,2
18,691,996,-6023,-261,-3680,0,6
30,687,913,-6309,-27,-3492,1,6
22,680,846,-5748,-169,-1445,2,6
6,681,792,-4800,-16,-654,3,6
3596,681,743,-4327,-25,-776,4,6
3587,681,696,-4094,-8,-783,5,6
164,1208,896,-3615,-222,-5612,2,1
229,1202,893,-3611,-222,-5606,3,1
305,1198,889,-3608,-222,-5600,4,1
381,1192,883,-3604,-222,-5595,5,1
859,2909,2909,-1454,-4,-337,1,5
849,3063,3063,-1452,-4,-337,2,5
835,3163,3163,-1451,-4,-336,3,5
820,3225,3227,-1449,-4,-336,4,5
804,3267,3269,-1448,-4,-336,5,5
1,1,2060,-906,-59,-22171,0,3
3591,2,1806,-905,-59,-22148,1,3
3583,7,1553,-904,-59,-22126,2,3
3578,15,1299,-903,-59,-22104,3,3
3576,24,1045,-902,-59,-22082,4,3
3579,33,792,-901,-59,-22060,5,3
2778,663,175,-161,-67,-3285,4,3
2811,750,86,-161,-67,-3282,5,3
3299,2711,2690,-60,-1085,-13989,0,1
3186,2696,2698,-60,-1084,-13975,1,1
3026,2679,2704,-60,-1083,-13961,2,1
2866,2641,2731,-60,-1082,-13947,3,1
2720,1971,3391,-60,-1080,-13933,4,1
2855,968,785,-60,-1079,-13919,5,1
2784,3367,609,-3764,-1618,-5481,0,5
2735,589,3381,-5288,-202,-5655,1,5
2771,1224,2743,-4796,-33,-2524,2,5
2817,1318,2646,-3518,-56,-2397,3,5
2862,1352,2610,-3202,-14,-2282,4,5
2906,1372,2590,-3199,-14,-2280,5,5
8,7,2399,-61,-1085,-13991,0,4
1,3595,2286,-61,-1084,-13977,1,4
3597,3583,2126,-61,-1083,-13963,2,4
3590,3572,1966,-61,-1082,-13949,3,4
3581,3563,1807,-60,-1081,-13935,4,4
3569,3558,1647,-60,-1079,-13921,5,4
2994,757,1106,-9100,-426,-8679,0,4
3083,923,901,-9091,-426,-8670,1,4
3195,1014,769,-9082,-426,-8661,2,4
3316,1062,676,-9073,-425,-8653,3,4
3442,1085,601,-9064,-425,-8644,4,4
3569,1092,534,-9055,-424,-8635,5,4
3464,2689,2708,-509,-72,-4189,5,1
1,3593,6,-75,-55,-1902,0,3
405,2912,1724,-13197,-391,-10752,0,3
231,2963,1827,-13184,-391,-10741,1,3
52,2978,1908,-13171,-390,-10730,2,3
3474,2969,1985,-13157,-390,-10719,3,3
3298,2931,2075,-13144,-389,-10709,4,3
3133,2844,2206,-13131,-389,-10698,5,3
20,241,1383,-7577,-207,-14960,3,6
9,234,1191,-7570,-207,-14945,4,6
3597,230,1000,-7562,-207,-14930,5,6
2819,318,1633,-10882,-484,-4824,0,4
2809,1068,869,-11649,-272,-3681,1,4
2870,1320,604,-7165,-387,-1690,2,4
2939,1418,497,-6742,-225,-1752,3,4
3014,1470,435,-6736,-225,-1750,4,4
