xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
2711,2344,2728,-384,-8,544,124,2
54,3542,2677,-48,-4,619,275,6
53,3543,2685,-147,-16,720,276,6
51,3543,2695,-247,-25,817,277,6
91,810,899,-13,-1,61,228,1
66,810,899,-104,-1,672,233,1
57,810,899,-121,-5,799,234,1
46,810,899,-144,-5,927,235,1
34,810,899,-168,-4,1060,236,1
20,810,899,-188,-7,1193,237,1
5,810,899,-211,-3,1334,238,1
784,2941,3116,-1639,-21,77,9,5
777,3022,3198,-1593,-8,162,10,5
711,3405,3592,-1213,-2,706,17,5
704,3422,11,-720,-93,320,18,5
699,3431,21,-533,-27,144,19,5
694,3436,26,-442,-8,55,20,5
3599,3206,2683,-123,-1,145,260,6
3599,3206,2687,-212,-1,257,261,6
2735,750,2,-35,-1,136,100,2
2731,750,3,-71,-2,271,101,2
2727,749,3,-106,-2,406,102,2
2720,748,4,-141,-1,541,103,2
2701,2865,1488,-32,-7,332,106,2
800,2649,2497,-25,-7,274,188,5
805,2653,2502,-98,-10,386,189,5
811,2662,2511,-172,-11,498,190,5
818,2679,2528,-246,-12,611,191,5
826,2704,2554,-322,-11,729,192,5
836,2745,2595,-394,-9,840,193,5
858,2863,2714,-61,-40,1140,195,5
3599,4,2672,-7,-4,61,72,6
3599,4,2675,-3,-3,201,73,6
0,4,2699,-17,-7,0,82,6
204,400,905,-73,-32,229,102,1
201,400,905,-184,-28,187,103,1
197,399,904,-295,-10,142,104,1
193,399,902,-410,-4,100,105,1
187,398,900,-476,-19,179,106,1
180,397,899,-505,-32,334,107,1
172,396,899,-538,-22,435,108,1
141,397,899,-760,-1,645,111,1
129,397,899,-848,-3,706,112,1
115,397,899,-933,-6,773,113,1
100,396,899,-1022,-6,845,114,1
83,396,899,-1110,-7,921,115,1
65,396,899,-1205,-6,1000,116,1
46,396,899,-1299,-10,1080,117,1
25,396,899,-1406,-4,1165,118,1
3,396,900,-1432,-15,1197,119,1
3595,396,897,-554,-10,354,120,1
3588,9,2660,-1806,-21,1033,0,6
3589,9,2688,-679,-102,1475,1,6
3582,8,2714,-230,-21,1050,3,6
3580,8,2725,-126,-5,947,4,6
3599,7,2698,-2,-2,52,23,6
2885,729,202,-2176,-108,33,97,2
2878,804,122,-2256,-107,78,98,2
2874,888,33,-2369,-101,105,99,2
2867,944,3573,-1485,-79,671,100,2
2848,1032,3481,-843,-14,1071,102,2
2827,1130,3380,-680,-15,1184,104,2
2817,1187,3322,-589,-35,1246,105,2
2808,1250,3257,-501,-56,1315,106,2
2798,1325,3180,-418,-63,1393,107,2
2790,1414,3088,-339,-77,1478,108,2
2782,1524,2977,-265,-72,1568,109,2
2778,1656,2843,-204,-68,1676,110,2
2703,1253,3235,-534,-2,39,125,2
63,901,874,-4315,-110,2209,0,3
3568,901,765,-2184,-66,1456,4,3
3553,901,741,-2049,-84,1308,5,3
3539,902,719,-1954,-89,1222,6,3
3526,904,697,-1874,-97,1146,7,3
3514,905,676,-1802,-99,1078,8,3
3503,907,656,-1729,-111,998,9,3
3492,909,637,-1668,-117,931,10,3
3483,912,618,-1609,-128,859,11,3
3474,914,599,-1559,-132,796,12,3
3466,916,581,-1513,-140,732,13,3
3459,919,564,-1473,-143,674,14,3
3452,921,546,-1438,-148,615,15,3
3447,924,530,-1408,-149,561,16,3
3442,927,513,-1383,-152,507,17,3
3437,929,496,-1364,-151,456,18,3
3433,932,480,-1342,-154,402,19,3
3430,935,464,-1333,-152,354,20,3
3428,938,448,-1328,-151,306,21,3
3426,941,432,-1329,-148,260,22,3
3424,944,415,-1335,-146,214,23,3
3424,948,399,-1345,-143,170,24,3
3424,951,383,-1366,-137,123,25,3
3424,955,366,-1385,-130,79,26,3
3425,958,349,-1411,-123,35,27,3
48,1031,0,-10,-4,29,53,3
896,1815,863,-768,-8,49,125,5
3545,2612,2700,-116,-1,784,281,6
3582,2612,2700,-181,-3,1183,284,6
3596,2612,2700,-181,-6,1227,285,6
12,2612,2700,-72,-5,447,287,6
15,2612,2700,-25,-4,312,288,6
891,2205,2705,-499,-2,419,97,5
898,2210,2710,-474,-2,406,98,5
0,2700,2426,-706,-3,1,48,6
0,2700,2435,-769,-1,0,49,6
0,2700,2444,-834,-1,0,50,6
0,2700,2455,-903,-3,0,51,6
0,2700,2466,-975,-2,0,52,6
0,2700,2478,-1051,-2,1,53,6
0,2700,2491,-1131,-4,0,54,6
0,2700,2505,-1215,-3,0,55,6
0,2700,2520,-1304,-4,0,56,6
0,2700,2536,-1396,-4,0,57,6
0,2700,2553,-1495,-5,0,58,6
0,2700,2571,-1597,-6,0,59,6
0,2699,2591,-1708,-5,0,60,6
0,2699,2612,-1819,-8,1,61,6
0,2699,2658,-2062,-13,2,63,6
0,2699,2705,-1899,-12,17,65,6
0,2699,2714,-803,-8,38,66,6
3599,2699,2700,-32,-2,23,81,6
735,2600,10,-1655,-18,304,185,5
747,2640,53,-1122,-71,874,186,5
760,2679,93,-969,-22,1031,187,5
772,2721,137,-898,-9,1106,188,5
785,2771,188,-836,-4,1188,189,5
844,3501,924,-151,-25,1622,195,5
0,134,2699,-18,-8,3,100,6
2805,820,153,-360,-1,290,110,2
2800,845,128,-448,-4,388,111,2
2779,966,5,-452,-9,752,114,2
2768,987,3583,-91,-30,1000,115,2
0,117,2661,-145,-37,1039,41,6
3594,238,2708,-671,-8,89,18,6
0,3221,1798,-349,-5,429,89,4
0,3220,1801,-158,-16,162,90,4
576,1939,1768,-260,-41,637,92,5
581,1931,1758,-299,-8,542,93,5
591,1918,1744,-419,-5,380,95,5
598,1914,1739,-483,-9,297,96,5
604,1912,1737,-548,-11,214,97,5
611,1912,1737,-615,-12,134,98,5
679,1970,1802,-1114,-133,3,105,5
693,1973,1806,-1187,-53,235,106,5
708,1974,1807,-1247,-9,352,107,5
740,1968,1802,-1354,-2,520,109,5
891,234,66,-360,-7,62,118,5
888,185,17,-214,-5,17,119,5
888,167,3599,-63,-2,0,120,5
3590,3326,3406,-1217,-79,504,49,3
3559,3322,3500,-923,-2,1256,55,3
3557,3320,3519,-897,-2,1370,56,3
3556,3319,3538,-872,-4,1488,57,3
3563,3311,2,-391,-195,1826,60,3
3597,3309,0,-55,-3,14,75,3
3571,2987,2424,-325,-2,1013,123,6
3581,2986,2433,-317,-9,1118,124,6
3591,2986,2443,-317,-11,1235,125,6
5,2987,2483,-1059,-9,768,128,6
6,2987,2515,-1253,-2,669,130,6
0,2987,2570,-1561,-6,638,133,6
3599,2987,2591,-1625,-30,806,134,6
3599,2987,2613,-1700,-26,935,135,6
3599,2987,2637,-1792,-9,1015,136,6
3599,2987,2662,-1910,-3,1073,137,6
0,2986,2688,-2023,-17,1123,138,6
3599,2986,2702,-1034,-12,497,139,6
3598,2986,2708,-387,-3,204,140,6
0,2986,2699,-30,-1,12,149,6
0,2986,2699,-16,-1,4,150,6
3368,2684,2700,-18,-3,697,53,6
3377,2684,2700,-21,-2,775,54,6
3387,2684,2700,-23,-2,854,55,6
3397,2684,2700,-25,-4,937,56,6
3409,2684,2700,-28,-3,1024,57,6
3422,2684,2700,-29,-4,1113,58,6
3436,2684,2700,-33,-5,1208,59,6
3451,2684,2700,-36,-4,1306,60,6
3467,2683,2700,-39,-5,1410,61,6
3484,2683,2700,-42,-6,1516,62,6
3503,2683,2700,-46,-5,1631,63,6
3523,2683,2700,-47,-8,1746,64,6
3545,2683,2700,-53,-5,1872,65,6
3568,2683,2700,-53,-13,1995,66,6
3592,2683,2700,-63,-2,2138,67,6
16,3276,1641,-79,-7,342,359,4
16,3276,1646,-204,-5,348,360,4
15,3276,1651,-330,-6,357,361,4
13,3276,1658,-457,-6,366,362,4
1,3277,1683,-752,-26,524,365,4
3599,3276,1695,-664,-42,811,366,4
3599,3276,1708,-625,-29,986,367,4
0,3276,1796,-917,-15,1430,372,4
3571,85,599,-372,-26,43,6,1
3567,84,599,-267,-32,64,7,1
3565,84,600,-164,-22,93,8,1
3565,84,602,-62,-7,123,9,1
3544,2946,1782,-103,-22,480,306,4
3550,2945,1786,-153,-31,624,307,4
3556,2944,1792,-224,-1,745,308,4
3565,2944,1798,-164,-6,864,309,4
0,2943,1799,-1,-1,17,322,4
883,2692,2703,-18,-1,1016,54,5
896,2696,2707,-16,-9,1133,55,5
3599,3584,2642,-3,-1,28,32,6
3599,3584,2687,-24,-2,973,39,6
2780,3140,1315,-189,-2,531,61,2
2782,3100,1355,-281,-16,431,62,2
2782,3060,1395,-369,-22,331,63,2
2781,3019,1435,-457,-26,231,64,2
2780,2976,1479,-546,-26,132,65,2
2777,2927,1528,-628,-6,29,66,2
2741,842,902,-73,-2,733,56,2
2731,841,902,-85,-4,867,57,2
2720,840,903,-98,-8,1002,58,2
2702,2375,2967,-46,-22,117,61,2
2804,416,900,-1227,-1,1095,101,2
2762,416,900,-1403,-4,1251,103,2
2714,413,903,-1594,-13,1422,105,2
2712,2190,2726,-557,-9,454,107,2
2722,2207,2709,-261,-6,243,109,2
