xbegin,ybegin,zbegin,xdif,ydif,zdif,number
38,124,1779,90,28,1117,4,
35,125,1793,35,12,1250,4,
27,127,1806,-416,83,1235,4,
3588,128,1799,350,-5,-42,4,
3594,128,1799,492,-2,-69,4,
3599,128,1799,476,-6,-113,4,
3586,2168,1950,1137,180,-373,4,
3576,2169,1943,1127,36,-89,4,
3566,2169,1935,1143,-51,45,4,
3557,2169,1925,1111,-55,148,4,
3548,2169,1916,1074,-56,246,4,
3541,2169,1905,1047,-42,361,4,
3535,2170,1894,1023,-28,477,4,
3530,2171,1881,1005,-30,596,4,
3526,2172,1868,999,-40,712,4,
3523,2174,1853,991,-36,837,4,
3520,2176,1837,998,-50,957,4,
3519,2177,1820,995,-45,1087,4,
3519,2180,1803,878,-1,1160,4,
3525,2182,1795,6,85,925,4,
3535,2182,1788,-381,-38,945,4,
3546,2182,1783,-518,-58,926,4,
3559,2182,1780,-645,-47,915,4,
3572,2182,1777,-763,-16,881,4,
3599,2182,1805,222,-1,103,4,
3598,2182,1801,204,-1,269,4,
3599,2182,1799,47,-2,131,4,
2778,1043,772,-562,1,738,2,
2770,1102,713,-458,15,820,2,
2762,1168,646,-356,-23,879,2,
2754,1248,566,-263,-18,969,2,
2746,1355,458,-177,6,1071,2,
2739,1507,306,-87,7,1175,2,
2734,1721,91,7,-4,1272,2,
2729,1943,3466,480,-173,1083,2,
2720,2173,3232,1111,-273,516,2,
2718,2584,2819,1087,-94,512,2,
2720,2737,2667,406,-5,157,2,
2701,757,1047,-12,0,175,2,
51,1303,3491,-751,28,863,3,
48,1302,3479,-630,40,877,3,
44,1302,3468,-511,45,890,3,
39,1302,3458,-401,68,922,3,
33,1302,3448,-286,72,946,3,
26,1303,3440,-169,58,964,3,
18,1303,3432,-46,53,979,3,
8,1303,3425,59,42,1013,3,
0,1303,3420,134,-42,821,3,
3596,1301,3418,86,-128,355,3,
3594,1300,3417,47,-64,175,3,
3599,1299,3460,632,-8,-523,3,
3599,1299,3470,711,-3,-595,3,
3599,1299,3482,792,-3,-668,3,
3599,1299,3495,880,-5,-741,3,
3599,1299,3510,970,-5,-815,3,
3599,1299,3526,1065,-5,-892,3,
3599,1299,3543,1158,-8,-972,3,
3599,1299,3562,1261,-5,-1055,3,
0,1299,3582,1357,-13,-1140,3,
0,1299,1,1222,0,-1028,3,
3378,379,1698,835,-34,-603,4,
3390,378,1699,925,-35,-574,4,
3403,377,1701,1018,-34,-547,4,
