xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
63,974,899,229,-5,1755,52,1
42,974,899,248,-11,1875,53,1
18,974,899,261,-3,2013,54,1
3596,974,900,261,-15,1902,55,1
3587,973,899,80,-7,726,56,1
0,974,899,21,-1,97,69,1
3598,89,754,77,-62,583,73,1
3599,88,761,166,-6,602,74,1
0,89,816,182,-1,1187,79,1
0,89,848,225,-1,1434,81,1
0,89,886,266,-9,1694,83,1
3599,89,908,95,-7,658,85,1
3599,89,911,53,-8,338,86,1
3599,89,914,53,-4,195,87,1
0,88,899,9,-6,12,94,1
0,88,899,0,-1,28,95,1
2742,909,1,14,-1,868,53,2
16,3352,2662,132,-4,403,90,6
18,3352,2666,2,-14,454,91,6
3594,3353,2700,104,-1,36,101,6
3597,3353,2700,231,-2,107,102,6
48,545,1871,943,-2,1468,174,4
40,547,1889,859,-23,1473,175,4
31,547,1906,756,-26,1491,176,4
22,547,1922,648,-53,1516,177,4
11,547,1937,539,-39,1536,178,4
3594,549,1977,480,-9,451,182,4
3594,549,1984,484,-2,330,183,4
3599,549,1999,354,-25,74,186,4
0,549,2002,212,-15,90,187,4
0,549,2003,112,-2,88,188,4
0,550,1800,60,-1,57,215,4
3597,3113,1737,279,-30,86,114,4
336,1616,2839,4678,-12,22,29,2
285,1626,2858,4673,-12,22,30,2
234,1633,2876,4669,-12,22,31,2
182,1638,2891,4664,-12,22,32,2
131,1642,2906,4659,-12,22,33,2
79,1645,2921,4655,-12,21,34,2
28,1646,2935,4650,-12,21,35,2
3577,1646,2949,4645,-12,21,36,2
3525,1645,2962,4641,-12,21,37,2
2711,3389,1334,4175,-77,0,61,2
0,2497,32,136,-2,51,43,3
0,2497,29,268,-3,99,44,3
0,2497,24,400,-3,147,45,3
0,2497,18,531,-2,196,46,3
3599,2497,3599,222,-3,40,49,3
3538,2830,2700,8,-3,61,175,6
3574,2830,2700,197,-2,838,181,6
3586,2830,2700,226,-5,973,182,6
3597,2830,2700,225,-6,942,183,6
2,2830,2700,99,-1,454,184,6
3599,26,3578,44,-3,923,56,3
3599,26,3590,48,-5,1062,57,3
0,26,2,57,-6,1032,58,3
0,26,5,46,-5,293,59,3
848,2322,1214,508,-24,126,238,5
846,2258,1150,451,-22,256,239,5
846,2190,1083,392,-11,384,240,5
846,2115,1007,336,-3,513,241,5
3554,2886,0,16,-3,65,210,3
3557,2886,0,62,-1,192,211,3
3592,2886,0,289,-1,845,216,3
3599,3545,2699,69,-1,0,286,6
11,1004,900,44,-1,271,145,1
7,1003,900,70,-2,413,146,1
